timestamp,timestamp_unix,latitude,longitude,altitude,heading,speed_mps,gps_status,position_covariance_type,battery_percent
2025-09-04T08:21:10.484987Z,1756974070,-31.9813310950,115.8159720100,-20.552,29.49,0.000,0,2,
2025-09-04T08:21:10.681540Z,1756974070,-31.9813309450,115.8159721100,-20.537,48.12,0.097,0,2,
2025-09-04T08:21:10.873319Z,1756974070,-31.9813308910,115.8159721810,-20.535,89.67,0.047,0,2,
2025-09-04T08:21:11.077057Z,1756974071,-31.9813308900,115.8159723870,-20.505,70.39,0.095,0,2,
2025-09-04T08:21:11.303613Z,1756974071,-31.9813308190,115.8159726220,-20.471,60.96,0.104,0,2,
2025-09-04T08:21:11.484013Z,1756974071,-31.9813307300,115.8159728110,-20.442,28.91,0.113,0,2,
2025-09-04T08:21:11.683126Z,1756974071,-31.9813305810,115.8159729080,-20.418,43.84,0.095,0,2,
2025-09-04T08:21:11.881491Z,1756974071,-31.9813304750,115.8159730280,-20.389,80.32,0.082,0,2,
2025-09-04T08:21:12.066515Z,1756974072,-31.9813304300,115.8159733390,-20.344,51.66,0.161,0,2,
2025-09-04T08:21:12.302178Z,1756974072,-31.9813302180,115.8159736550,-20.294,57.89,0.161,0,2,
2025-09-04T08:21:12.483749Z,1756974072,-31.9813300610,115.8159739500,-20.269,80.19,0.181,0,2,
2025-09-04T08:21:12.677075Z,1756974072,-31.9813300230,115.8159742090,-20.242,80.03,0.128,0,2,
2025-09-04T08:21:12.870872Z,1756974072,-31.9813299890,115.8159744370,-20.212,46.23,0.113,0,2,
2025-09-04T08:21:13.065494Z,1756974073,-31.9813294730,115.8159750720,-20.115,54.32,0.426,0,2,
2025-09-04T08:21:13.292101Z,1756974073,-31.9813291910,115.8159755350,-20.065,62.30,0.237,0,2,
2025-09-04T08:21:13.494162Z,1756974073,-31.9813290160,115.8159759280,-20.024,66.89,0.207,0,2,
2025-09-04T08:21:13.689693Z,1756974073,-31.9813289020,115.8159762430,-19.985,81.62,0.165,0,2,
2025-09-04T08:21:13.880418Z,1756974073,-31.9813288780,115.8159764350,-19.950,53.32,0.096,0,2,
2025-09-04T08:21:14.085216Z,1756974074,-31.9813287630,115.8159766170,-19.916,40.54,0.105,0,2,
2025-09-04T08:21:14.302116Z,1756974074,-31.9813286420,115.8159767390,-19.884,40.04,0.082,0,2,
2025-09-04T08:21:14.485018Z,1756974074,-31.9813285370,115.8159768430,-19.853,40.82,0.083,0,2,
2025-09-04T08:21:14.677537Z,1756974074,-31.9813284270,115.8159769550,-19.836,37.78,0.084,0,2,
2025-09-04T08:21:14.881646Z,1756974074,-31.9813282760,115.8159770930,-19.810,22.07,0.104,0,2,
2025-09-04T08:21:15.074796Z,1756974075,-31.9813280040,115.8159772230,-19.782,1.57,0.169,0,2,
2025-09-04T08:21:15.300458Z,1756974075,-31.9813279420,115.8159772250,-19.773,272.81,0.031,0,2,
2025-09-04T08:21:15.492094Z,1756974075,-31.9813279410,115.8159772010,-19.768,33.12,0.012,0,2,
2025-09-04T08:21:15.688320Z,1756974075,-31.9813278630,115.8159772610,-19.760,151.47,0.053,0,2,
2025-09-04T08:21:15.892156Z,1756974075,-31.9813279020,115.8159772860,-19.758,33.92,0.024,0,2,
2025-09-04T08:21:16.084551Z,1756974076,-31.9813277090,115.8159774390,-19.714,30.53,0.134,0,2,
