timestamp,timestamp_unix,latitude,longitude,altitude,heading,speed_mps,gps_status,position_covariance_type,battery_percent
2025-09-04T08:21:10.484987Z,1756974070,-31.9813310950,115.8159720100,-20.552,54.39,0.000,0,2,
2025-09-04T08:21:15.492094Z,1756974075,-31.9813279410,115.8159772010,-19.768,60.72,0.120,0,2,
2025-09-04T08:21:20.685688Z,1756974080,-31.9813252520,115.8159828540,-18.787,47.52,0.118,0,2,
2025-09-04T08:21:25.691718Z,1756974085,-31.9813224600,115.8159864490,-17.844,42.06,0.092,0,2,
2025-09-04T08:21:30.881857Z,1756974090,-31.9813195150,115.8159895820,-17.034,52.09,0.085,0,2,
2025-09-04T08:21:36.075095Z,1756974096,-31.9813177560,115.8159922450,-16.489,47.68,0.061,0,2,
2025-09-04T08:21:41.295780Z,1756974101,-31.9813157980,115.8159947800,-16.095,90.96,0.062,0,2,
2025-09-04T08:21:46.486189Z,1756974106,-31.9813159110,115.8160026900,-15.807,92.03,0.144,0,2,
2025-09-04T08:21:51.669762Z,1756974111,-31.9813176720,115.8160611930,-16.242,88.25,1.065,0,2,
2025-09-04T08:21:56.675538Z,1756974116,-31.9813159590,115.8161272260,-16.655,85.64,1.245,0,2,
2025-09-04T08:22:01.876955Z,1756974121,-31.9813117460,115.8161923210,-16.596,86.29,1.184,0,2,
2025-09-04T08:22:07.066162Z,1756974127,-31.9813080390,115.8162596670,-16.587,90.44,1.227,0,2,
2025-09-04T08:22:12.288855Z,1756974132,-31.9813084800,115.8163271690,-16.995,92.55,1.219,0,2,
2025-09-04T08:22:17.490638Z,1756974137,-31.9813111480,115.8163978980,-17.070,86.68,1.284,0,2,
2025-09-04T08:22:22.671167Z,1756974142,-31.9813079340,115.8164632820,-17.197,92.76,1.192,0,2,
2025-09-04T08:22:27.689267Z,1756974147,-31.9813105380,115.8165270700,-17.401,90.79,1.200,0,2,
2025-09-04T08:22:32.697800Z,1756974152,-31.9813113780,115.8165987450,-17.050,86.23,1.350,0,2,
2025-09-04T08:22:37.877672Z,1756974157,-31.9813075280,115.8166675370,-17.017,90.62,1.255,0,2,
2025-09-04T08:22:42.883498Z,1756974162,-31.9813081340,115.8167340620,-17.110,91.22,1.254,0,2,
2025-09-04T08:22:47.893359Z,1756974167,-31.9813093430,115.8168007850,-17.169,93.00,1.256,0,2,
2025-09-04T08:22:53.083322Z,1756974173,-31.9813124920,115.8168715230,-17.148,91.25,1.287,0,2,
2025-09-04T08:22:58.294676Z,1756974178,-31.9813137480,115.8169393480,-17.487,88.05,1.228,0,2,
2025-09-04T08:23:03.304843Z,1756974183,-31.9813119250,115.8170025290,-17.359,88.71,1.190,0,2,
2025-09-04T08:23:08.310923Z,1756974188,-31.9813106330,115.8170700270,-17.660,81.66,1.272,0,2,
2025-09-04T08:23:13.501214Z,1756974193,-31.9813017600,115.8171413710,-17.641,58.50,1.310,0,2,
2025-09-04T08:23:18.691148Z,1756974198,-31.9812904870,115.8171630560,-17.760,349.15,0.462,0,2,
2025-09-04T08:23:23.871955Z,1756974203,-31.9812894910,115.8171628310,-18.074,228.00,0.022,0,2,
2025-09-04T08:23:28.879423Z,1756974208,-31.9812960810,115.8171542010,-18.636,82.29,0.219,0,2,
2025-09-04T08:23:33.888103Z,1756974213,-31.9812935180,115.8171765170,-18.267,26.39,0.424,0,2,
2025-09-04T08:23:39.080591Z,1756974219,-31.9812461640,115.8172042200,-17.247,358.53,1.132,0,2,
2025-09-04T08:23:44.301489Z,1756974224,-31.9811821740,115.8172022850,-16.179,357.54,1.363,0,2,
2025-09-04T08:23:49.310718Z,1756974229,-31.9811204670,115.8171991620,-16.789,358.49,1.371,0,2,
2025-09-04T08:23:54.501035Z,1756974234,-31.9810534210,115.8171970750,-17.606,359.87,1.437,0,2,
2025-09-04T08:23:59.690971Z,1756974239,-31.9809928430,115.8171969090,-17.454,357.46,1.298,0,2,
2025-09-04T08:24:04.881572Z,1756974244,-31.9809339410,115.8171938250,-17.372,358.98,1.263,0,2,
2025-09-04T08:24:09.888389Z,1756974249,-31.9808734950,115.8171925550,-17.411,1.42,1.343,0,2,
2025-09-04T08:24:15.078305Z,1756974255,-31.9808169000,115.8171942050,-16.870,359.66,1.213,0,2,
2025-09-04T08:24:20.292157Z,1756974260,-31.9807553970,115.8171937770,-16.534,359.55,1.312,0,2,
2025-09-04T08:24:25.310016Z,1756974265,-31.9806948130,115.8171932170,-16.678,0.59,1.343,0,2,
2025-09-04T08:24:30.490926Z,1756974270,-31.9806400190,115.8171938860,-16.825,3.76,1.176,0,2,
2025-09-04T08:24:35.497696Z,1756974275,-31.9805823820,115.8171983560,-17.038,6.25,1.283,0,2,
2025-09-04T08:24:40.665825Z,1756974280,-31.9805233720,115.8172059710,-17.489,2.61,1.277,0,2,
2025-09-04T08:24:45.686187Z,1756974285,-31.9804673460,115.8172089810,-17.153,7.02,1.242,0,2,
2025-09-04T08:24:50.694284Z,1756974290,-31.9804127130,115.8172169100,-17.359,4.14,1.222,0,2,
2025-09-04T08:24:55.701676Z,1756974295,-31.9803547920,115.8172218530,-18.098,358.19,1.290,0,2,
2025-09-04T08:25:00.880513Z,1756974300,-31.9802976980,115.8172197240,-21.769,356.01,1.226,0,2,
2025-09-04T08:25:05.899933Z,1756974305,-31.9802442210,115.8172153320,-23.436,355.63,1.188,0,2,
2025-09-04T08:25:11.100765Z,1756974311,-31.9801820200,115.8172097220,-24.123,357.18,1.334,0,2,
2025-09-04T08:25:16.323020Z,1756974316,-31.9801194710,115.8172060880,-24.381,355.70,1.333,0,2,
2025-09-04T08:25:21.331127Z,1756974321,-31.9800570820,115.8172005630,-23.981,2.15,1.389,0,2,
2025-09-04T08:25:26.500205Z,1756974326,-31.9799959860,115.8172032640,-24.040,359.16,1.315,0,2,
2025-09-04T08:25:31.510103Z,1756974331,-31.9799398430,115.8172022920,-24.458,358.84,1.246,0,2,
2025-09-04T08:25:36.517611Z,1756974336,-31.9798824760,115.8172009270,-24.896,356.51,1.274,0,2,
2025-09-04T08:25:41.696160Z,1756974341,-31.9798209820,115.8171965000,-24.676,0.45,1.323,0,2,
2025-09-04T08:25:46.897484Z,1756974346,-31.9797596430,115.8171970680,-24.569,359.28,1.311,0,2,
2025-09-04T08:25:52.088592Z,1756974352,-31.9796997050,115.8171961750,-24.608,0.03,1.284,0,2,
2025-09-04T08:25:57.311987Z,1756974357,-31.9796392450,115.8171962120,-24.424,358.29,1.287,0,2,
2025-09-04T08:26:02.492563Z,1756974362,-31.9795798930,115.8171941240,-24.417,1.37,1.274,0,2,
2025-09-04T08:26:07.684584Z,1756974367,-31.9795223990,115.8171957400,-24.528,2.39,1.232,0,2,
2025-09-04T08:26:12.876225Z,1756974372,-31.9794641980,115.8171986020,-24.417,13.61,1.248,0,2,
2025-09-04T08:26:17.881425Z,1756974377,-31.9794114950,115.8172136450,-23.791,26.91,1.205,0,2,
2025-09-04T08:26:23.071579Z,1756974383,-31.9793670320,115.8172402520,-24.044,38.06,1.068,0,2,
2025-09-04T08:26:28.090802Z,1756974388,-31.9793341930,115.8172705610,-24.035,44.66,0.924,0,2,
2025-09-04T08:26:33.313890Z,1756974393,-31.9793004520,115.8173098730,-23.507,55.47,1.010,0,2,
2025-09-04T08:26:38.492678Z,1756974398,-31.9792753840,115.8173528170,-22.952,69.16,0.949,0,2,
2025-09-04T08:26:43.500111Z,1756974403,-31.9792632510,115.8173904010,-22.338,77.84,0.757,0,2,
2025-09-04T08:26:48.667755Z,1756974408,-31.9792548110,115.8174365700,-21.563,90.67,0.862,0,2,
2025-09-04T08:26:53.697111Z,1756974413,-31.9792553160,115.8174877310,-20.882,89.75,0.960,0,2,
2025-09-04T08:26:58.877909Z,1756974418,-31.9792550720,115.8175533180,-20.503,88.54,1.194,0,2,
2025-09-04T08:27:04.071859Z,1756974424,-31.9792536250,115.8176204330,-20.246,90.44,1.219,0,2,
2025-09-04T08:27:09.079293Z,1756974429,-31.9792541680,115.8177032480,-19.303,81.98,1.560,0,2,
2025-09-04T08:27:14.300218Z,1756974434,-31.9792476760,115.8177575400,-19.857,88.27,0.991,0,2,
2025-09-04T08:27:19.490402Z,1756974439,-31.9792458970,115.8178269490,-19.931,91.82,1.262,0,2,
2025-09-04T08:27:24.681659Z,1756974444,-31.9792478750,115.8179003470,-19.681,82.39,1.334,0,2,
2025-09-04T08:27:29.688652Z,1756974449,-31.9792392180,115.8179767430,-20.567,94.65,1.452,0,2,
2025-09-04T08:27:34.878356Z,1756974454,-31.9792439760,115.8180456810,-20.359,96.92,1.257,0,2,
2025-09-04T08:27:40.081669Z,1756974460,-31.9792461700,115.8180670060,-20.755,283.68,0.389,0,2,
2025-09-04T08:27:45.304301Z,1756974465,-31.9792399050,115.8180366520,-21.210,276.30,0.564,0,2,
2025-09-04T08:27:50.494092Z,1756974470,-31.9792348630,115.8179827820,-20.887,274.36,0.985,0,2,
2025-09-04T08:27:55.684182Z,1756974475,-31.9792310040,115.8179231310,-20.760,268.99,1.087,0,2,
2025-09-04T08:28:00.886104Z,1756974480,-31.9792320050,115.8178558620,-20.610,270.57,1.220,0,2,
