timestamp,latitude,longitude,heading,speed_mps,battery_percent
2025-09-04T08:21:10.484987Z,-31.9795310950,115.8146220100,54.39,0.000,78
2025-09-04T08:21:20.685688Z,-31.9795252520,115.8146328540,47.52,0.118,78
2025-09-04T08:21:30.881857Z,-31.9795195150,115.8146395820,52.09,0.085,78
2025-09-04T08:21:41.295780Z,-31.9795157980,115.8146447800,90.96,0.062,78
2025-09-04T08:21:51.669762Z,-31.9795176720,115.8147111930,88.25,1.065,78
2025-09-04T08:22:01.876955Z,-31.9795117460,115.8148423210,86.29,1.184,78
2025-09-04T08:22:12.288855Z,-31.9795084800,115.8149771690,92.55,1.219,78
2025-09-04T08:22:22.671167Z,-31.9795079340,115.8151132820,92.76,1.192,78
2025-09-04T08:22:32.697800Z,-31.9795113780,115.8152487450,86.23,1.350,78
2025-09-04T08:22:42.883498Z,-31.9795081340,115.8153840620,91.22,1.254,78
2025-09-04T08:22:53.083322Z,-31.9795124920,115.8155215230,91.25,1.287,78
2025-09-04T08:23:03.304843Z,-31.9795119250,115.8156525290,88.71,1.190,78
2025-09-04T08:23:13.501214Z,-31.9795017600,115.8157913710,58.50,1.310,77
2025-09-04T08:23:23.871955Z,-31.9794894910,115.8158128310,228.00,0.022,77
2025-09-04T08:23:33.888103Z,-31.9794935180,115.8158265170,26.39,0.424,77
2025-09-04T08:23:44.301489Z,-31.9793821740,115.8158522850,357.54,1.363,77
2025-09-04T08:23:54.501035Z,-31.9792534210,115.8158470750,359.87,1.437,77
2025-09-04T08:24:04.881572Z,-31.9791339410,115.8158438250,358.98,1.263,77
2025-09-04T08:24:15.078305Z,-31.9790169000,115.8158442050,359.66,1.213,77
2025-09-04T08:24:25.310016Z,-31.9788948130,115.8158432170,0.59,1.343,77
2025-09-04T08:24:35.497696Z,-31.9787823820,115.8158483560,6.25,1.283,77
2025-09-04T08:24:45.686187Z,-31.9786673460,115.8158589810,7.02,1.242,77
2025-09-04T08:24:55.701676Z,-31.9785547920,115.8158718530,358.19,1.290,77
2025-09-04T08:25:05.899933Z,-31.9784442210,115.8158653320,355.63,1.188,77
2025-09-04T08:25:16.323020Z,-31.9783194710,115.8158560880,355.70,1.333,76
2025-09-04T08:25:26.500205Z,-31.9781959860,115.8158532640,359.16,1.315,76
2025-09-04T08:25:36.517611Z,-31.9780824760,115.8158509270,356.51,1.274,76
2025-09-04T08:25:46.897484Z,-31.9779596430,115.8158470680,359.28,1.311,76
2025-09-04T08:25:57.311987Z,-31.9778392450,115.8158462120,358.29,1.287,76
2025-09-04T08:26:07.684584Z,-31.9777223990,115.8158457400,2.39,1.232,76
2025-09-04T08:26:17.881425Z,-31.9776114950,115.8158636450,26.91,1.205,76
2025-09-04T08:26:28.090802Z,-31.9775341930,115.8159205610,44.66,0.924,76
2025-09-04T08:26:38.492678Z,-31.9774753840,115.8160028170,69.16,0.949,76
2025-09-04T08:26:48.667755Z,-31.9774548110,115.8160865700,90.67,0.862,76
2025-09-04T08:26:58.877909Z,-31.9774550720,115.8162033180,88.54,1.194,76
2025-09-04T08:27:09.079293Z,-31.9774541680,115.8163532480,81.98,1.560,76
2025-09-04T08:27:19.490402Z,-31.9774458970,115.8164769490,91.82,1.262,75
2025-09-04T08:27:29.688652Z,-31.9774392180,115.8166267430,94.65,1.452,75
2025-09-04T08:27:40.081669Z,-31.9774461700,115.8167170060,283.68,0.389,75
2025-09-04T08:27:50.494092Z,-31.9774348630,115.8166327820,274.36,0.985,75
2025-09-04T08:28:00.886104Z,-31.9774320050,115.8165058620,270.57,1.220,75
2025-09-04T08:28:11.288616Z,-31.9774307450,115.8163653670,274.68,1.269,75
2025-09-04T08:28:21.304882Z,-31.9774258160,115.8162396850,261.00,1.243,75
2025-09-04T08:28:31.503684Z,-31.9774417730,115.8161387020,278.89,0.669,75
2025-09-04T08:28:41.700888Z,-31.9774077520,115.8160689820,330.21,0.874,75
2025-09-04T08:28:52.082788Z,-31.9774254320,115.8160658870,187.61,0.586,75
2025-09-04T08:29:02.312381Z,-31.9774814610,115.8160444230,248.00,0.577,75
2025-09-04T08:29:12.683092Z,-31.9775204160,115.8159646920,230.16,1.024,75
2025-09-04T08:29:23.075159Z,-31.9775886060,115.8158819090,204.49,0.950,74
